iteration,local_LB,local_UB,LB,UB,gap
1,0.0,4568.194,0.0,4568.194,1.0
2,4490.528,4558.488,4490.528,4558.488,0.015
3,4516.718,4555.756,4516.718,4555.756,0.009
4,4527.107,4558.816,4527.107,4555.756,0.006
5,4530.343,4549.921,4530.343,4549.921,0.004
6,4533.956,4549.921,4533.956,4549.921,0.004
7,4535.519,4557.496,4535.519,4549.921,0.003
8,4536.809,4549.734,4536.809,4549.734,0.003
9,4537.044,4547.331,4537.044,4547.331,0.002
10,4537.044,4547.331,4537.044,4547.331,0.002
11,4537.044,4547.331,4537.044,4547.331,0.002
12,4537.044,4547.331,4537.044,4547.331,0.002
13,4537.044,4547.331,4537.044,4547.331,0.002
14,4537.044,4547.331,4537.044,4547.331,0.002
15,4537.044,4547.331,4537.044,4547.331,0.002
16,4537.044,4547.331,4537.044,4547.331,0.002
17,4537.044,4547.331,4537.044,4547.331,0.002
18,4537.044,4547.331,4537.044,4547.331,0.002
19,4537.044,4547.331,4537.044,4547.331,0.002
20,4537.044,4547.331,4537.044,4547.331,0.002
CPU time: 1096.1120269298553
