iteration,local_LB,local_UB,LB,UB,gap
1,43656.36,50750.794,43656.36,50750.794,0.14
2,43707.415,48730.815,43707.415,48730.815,0.103
3,43744.646,46824.698,43744.646,46824.698,0.066
4,43767.536,46451.271,43767.536,46451.271,0.058
5,43801.458,45806.162,43801.458,45806.162,0.044
6,43806.159,44861.488,43806.159,44861.488,0.024
7,43813.041,44681.825,43813.041,44681.825,0.019
8,43813.205,44594.638,43813.205,44594.638,0.018
9,43809.246,44415.511,43813.205,44415.511,0.014
10,43812.833,44455.479,43813.205,44415.511,0.014
11,43814.769,44721.432,43814.769,44415.511,0.014
12,43808.121,44301.156,43814.769,44301.156,0.011
13,43813.593,44576.97,43814.769,44301.156,0.011
14,43813.763,44601.695,43814.769,44301.156,0.011
15,43809.128,44420.892,43814.769,44301.156,0.011
16,43812.587,44457.233,43814.769,44301.156,0.011
17,43814.769,44721.432,43814.769,44301.156,0.011
18,43808.121,44301.156,43814.769,44301.156,0.011
19,43813.593,44576.97,43814.769,44301.156,0.011
20,43813.763,44601.695,43814.769,44301.156,0.011
CPU time: 8625.952467679977
