iteration,OD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,destination,origin,multiplier_gama
1,834_338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.817,30.344,0.413,
1,535_776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.86,13.197,0.653,
1,275_110,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.715,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-18.384,9.124,0.561,
1,284_480,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-14.332,18.948,0.571,
1,352_382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-37.198,28.742,0.258,
1,772_33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-23.527,28.002,0.517,
1,282_25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.936,-0.0,-0.0,1.601,-0.0,1.71,-0.0,-0.0,-0.0,-20.445,3.973,0.662,
1,789_601,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.774,23.441,0.721,
1,896_54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-54.749,20.557,0.314,
1,590_735,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13.998,27.04,0.45,
1,818_236,-0.0,-0.0,-0.0,-0.0,-0.0,1.808,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.682,-0.0,0.878,-0.0,0.514,-0.0,-0.0,-0.0,-42.053,24.758,0.303,
1,569_758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-17.461,29.539,0.485,
1,700_230,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.746,24.154,0.541,
1,11_720,-0.0,-0.0,-0.0,-0.0,-0.0,1.544,-0.0,1.308,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-12.681,32.785,0.334,
1,65_771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.688,9.535,0.734,
1,734_666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.229,-0.0,-0.0,-0.0,-0.0,-0.0,-11.456,37.499,0.358,
1,230_892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-32.376,43.143,0.362,
1,511_916,-0.0,-0.0,-0.0,1.8,-0.0,1.78,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-23.993,76.636,0.24,
1,824_182,1.63,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.734,-0.0,2.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.159,25.196,0.608,
1,467_512,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-29.907,12.929,0.364,
1,797_6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-24.77,22.248,0.482,
1,916_474,-0.0,-0.0,1.768,-0.0,1.014,-0.0,-0.0,-0.0,1.402,-0.0,-0.0,1.892,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-60.33,15.603,0.322,
1,121_656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.798,4.425,0.902,
1,685_911,-0.0,-0.0,-0.0,-0.0,-0.0,1.828,-0.0,-0.0,1.886,-0.0,-0.0,-0.0,-0.0,-0.0,1.589,-0.0,1.7,-0.0,0.252,-0.0,-15.406,55.109,0.35,
1,605_415,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-19.038,13.997,0.556,
1,176_445,-0.0,1.695,1.77,-0.0,1.84,-0.0,1.732,-0.0,1.857,-0.0,-0.0,-0.0,0.47,-0.0,0.078,-0.0,-0.0,-0.0,-0.0,-0.0,-44.2,26.383,0.399,
1,706_308,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.703,-0.0,-0.0,-0.0,-28.848,12.433,0.419,
