iteration,solution
1,[]
2,[(2, 5), (5, 2), (13, 23)]
3,[(4, 10), (10, 4), (22, 19)]
4,[(14, 10), (10, 14), (23, 13)]
5,[(5, 2), (4, 10), (22, 19)]
6,[(5, 2), (10, 4), (14, 10)]
7,[(4, 10), (10, 4), (10, 14)]
8,[(4, 10), (10, 14), (19, 22)]
9,[(4, 10), (10, 4), (14, 10)]
10,[(4, 10), (10, 4), (10, 14)]
11,[(4, 10), (10, 4), (10, 14)]
12,[(4, 10), (10, 4), (10, 14)]
13,[(4, 10), (10, 4), (10, 14)]
14,[(4, 10), (10, 4), (10, 14)]
15,[(4, 10), (10, 4), (10, 14)]
16,[(4, 10), (10, 4), (10, 14)]
17,[(4, 10), (10, 4), (10, 14)]
18,[(4, 10), (10, 4), (10, 14)]
19,[(4, 10), (10, 4), (10, 14)]
20,[(4, 10), (10, 4), (10, 14)]
