iteration,OD,0,1,2,3,4,5,6,7,8,9,destination,origin,multiplier_gama
1,1_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13.0,-6.0,1.0,
1,1_3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.0,-0.0,0.333,
1,1_4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.007,2.236,0.236,
1,1_5,4.212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.982,3.376,0.229,
1,1_6,1.265,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.846,2.316,0.316,
1,1_7,3.118,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13.236,7.236,0.224,
1,1_8,1.412,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.92,4.397,0.302,
1,1_9,3.919,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.753,8.043,0.209,
1,1_10,3.694,-0.0,7.962,-0.0,3.77,-0.0,-0.0,-0.0,-0.0,-0.0,-15.234,7.962,0.192,
1,1_11,1.502,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.464,6.77,0.192,
1,1_12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.496,5.109,0.277,
1,1_13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.802,-0.0,-0.0,-9.673,5.069,0.267,
1,1_14,3.514,-0.0,-0.0,-0.0,-0.0,5.18,2.257,-0.0,-0.0,-0.0,-13.772,8.898,0.18,
1,1_15,3.214,-0.0,5.684,-0.0,-0.0,-0.0,2.791,-0.0,-0.0,-0.0,-18.637,8.949,0.158,
1,1_16,4.615,-0.0,0.934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-15.84,6.033,0.258,
1,1_17,4.212,-0.0,1.165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.688,-15.524,8.835,0.229,
1,1_18,3.858,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-14.878,8.021,0.204,
1,1_19,3.919,-0.0,2.332,-0.0,-0.0,-0.0,1.166,-0.0,-0.0,4.877,-17.919,8.877,0.209,
1,1_20,3.646,-0.0,3.244,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-18.402,8.89,0.189,
1,1_21,4.212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-15.524,6.835,0.229,
1,1_22,4.13,-0.0,1.435,-0.0,-0.0,-0.0,1.435,-0.0,3.224,-0.0,-17.354,7.118,0.224,
1,1_23,3.985,-0.0,-0.0,-0.0,-0.0,-0.0,4.853,-0.0,-0.0,-0.0,-14.051,7.64,0.213,
1,1_24,2.886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13.064,6.179,0.236,
1,2_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,8.0,1.0,
