iteration,local_LB,local_UB,LB,UB,gap
1,0.0,8056.18,0.0,8056.18,1.0
2,5801.206,7732.96,5801.206,7732.96,0.25
3,7063.127,7507.849,7063.127,7507.849,0.059
4,7320.917,7589.449,7320.917,7507.849,0.025
5,7420.723,7581.519,7420.723,7507.849,0.012
6,7452.267,7492.705,7452.267,7492.705,0.005
7,7464.311,7498.042,7464.311,7492.705,0.004
8,7468.739,7492.705,7468.739,7492.705,0.003
9,7468.739,7492.705,7468.739,7492.705,0.003
10,7468.739,7492.705,7468.739,7492.705,0.003
11,7468.739,7492.705,7468.739,7492.705,0.003
12,7468.739,7492.705,7468.739,7492.705,0.003
13,7468.739,7492.705,7468.739,7492.705,0.003
14,7468.739,7492.705,7468.739,7492.705,0.003
15,7468.739,7492.705,7468.739,7492.705,0.003
16,7468.739,7492.705,7468.739,7492.705,0.003
17,7468.739,7492.705,7468.739,7492.705,0.003
18,7468.739,7492.705,7468.739,7492.705,0.003
19,7468.739,7492.705,7468.739,7492.705,0.003
20,7468.739,7492.705,7468.739,7492.705,0.003
CPU time: 156.33648204803467
