iteration,local_LB,local_UB,LB,UB,gap
1,0.0,9808.018,0.0,9808.018,1.0
2,6529.074,9156.334,6529.074,9156.334,0.287
3,8527.044,9117.917,8527.044,9117.917,0.065
4,8708.96,9148.856,8708.96,9117.917,0.045
5,8788.808,8990.277,8788.808,8990.277,0.022
6,8831.303,8990.277,8831.303,8990.277,0.018
7,8831.303,8990.277,8831.303,8990.277,0.018
8,8831.303,8990.277,8831.303,8990.277,0.018
9,8831.303,8990.277,8831.303,8990.277,0.018
10,8831.303,8990.277,8831.303,8990.277,0.018
11,8831.303,8990.277,8831.303,8990.277,0.018
12,8831.303,8990.277,8831.303,8990.277,0.018
13,8831.303,8990.277,8831.303,8990.277,0.018
14,8831.303,8990.277,8831.303,8990.277,0.018
15,8831.303,8990.277,8831.303,8990.277,0.018
16,8831.303,8990.277,8831.303,8990.277,0.018
17,8831.303,8990.277,8831.303,8990.277,0.018
18,8831.303,8990.277,8831.303,8990.277,0.018
19,8831.303,8990.277,8831.303,8990.277,0.018
20,8831.303,8990.277,8831.303,8990.277,0.018
CPU time: 272.4556086063385
